SaleID,SaleDate,CustomerID,ProductID,Quantity,SaleAmount,Discount,Tax,TotalAmount,SalesRepresentative
55,2023-01-31,4,8,2,225.75,22.75,18.00,221.00,Rep_2
56,2023-06-08,8,10,5,160.35,16.35,13.00,157.00,Rep_3
57,2023-03-13,3,2,1,210.80,21.80,17.00,206.00,Rep_1
58,2023-07-07,6,3,4,180.60,18.60,15.00,177.00,Rep_4
59,2023-09-01,1,7,3,250.90,25.90,21.00,246.00,Rep_5
60,2023-02-18,10,1,1,170.80,17.80,14.00,167.00,Rep_3
61,2023-05-29,2,4,3,195.45,19.45,16.00,192.00,Rep_1
62,2023-12-08,5,7,4,225.00,22.00,18.00,221.00,Rep_2
63,2023-11-18,7,3,2,100.75,10.75,8.00,98.00,Rep_4
64,2023-08-28,9,9,5,275.50,27.50,22.00,270.00,Rep_2
65,2023-04-21,4,5,2,195.40,19.40,16.00,192.00,Rep_3
66,2023-01-17,8,2,1,210.80,21.80,17.00,206.00,Rep_1
67,2023-09-06,3,6,3,190.25,19.25,16.00,187.00,Rep_4
68,2023-07-27,6,8,2,220.75,22.75,19.00,217.00,Rep_5
69,2023-02-24,1,1,1,170.80,17.80,14.00,167.00,Rep_3
70,2023-04-23,10,3,3,175.85,17.85,14.00,173.00,Rep_3
71,2023-12-04,2,5,2,190.40,19.40,16.00,187.00,Rep_1
72,2023-11-20,5,9,4,225.70,22.70,18.00,221.00,Rep_2
73,2023-08-13,7,6,3,190.25,19.25,16.00,187.00,Rep_4
74,2023-04-14,9,8,2,225.75,22.75,18.00,221.00,Rep_2
75,2023-02-02,4,10,5,160.35,16.35,13.00,157.00,Rep_3
76,2023-06-12,8,2,1,210.80,21.80,17.00,206.00,Rep_1
77,2023-03-17,3,3,4,180.60,18.60,15.00,177.00,Rep_4
78,2023-07-03,6,7,3,225.75,22.75,18.00,221.00,Rep_1
79,2023-09-04,1,4,2,150.40,15.40,13.00,148.00,Rep_5
80,2023-02-16,10,9,5,275.30,27.30,22.00,270.00,Rep_3
81,2023-05-19,2,10,2,160.35,16.35,13.00,157.00,Rep_3
82,2023-12-14,5,4,3,195.45,19.45,16.00,192.00,Rep_1
83,2023-11-02,7,7,4,225.00,22.00,18.00,221.00,Rep_2
84,2023-08-12,9,3,2,100.75,10.75,8.00,98.00,Rep_4
85,2023-04-30,4,9,5,275.50,27.50,22.00,270.00,Rep_2
86,2023-01-25,8,5,2,195.40,19.40,16.00,192.00,Rep_3
87,2023-09-14,3,2,1,210.80,21.80,17.00,206.00,Rep_1
88,2023-07-10,6,6,3,190.25,19.25,16.00,187.00,Rep_4
89,2023-02-26,1,8,2,220.75,22.75,19.00,217.00,Rep_5
90,2023-04-07,10,1,1,170.80,17.80,14.00,167.00,Rep_3
91,2023-12-20,2,3,3,175.85,17.85,14.00,173.00,Rep_3
92,2023-11-13,5,5,2,190.40,19.40,16.00,187.00,Rep_1
93,2023-08-29,7,9,4,225.70,22.70,18.00,221.00,Rep_2
94,2023-04-10,9,6,3,190.25,19.25,16.00,187.00,Rep_4
95,2023-01-30,4,8,2,225.75,22.75,18.00,221.00,Rep_2
96,2023-06-09,8,10,5,160.35,16.35,13.00,157.00,Rep_3
97,2023-03-15,3,2,1,210.80,21.80,17.00,206.00,Rep_1
98,2023-07-01,6,3,4,180.60,18.60,15.00,177.00,Rep_4
99,2023-09-23,1,7,3,250.90,25.90,21.00,246.00,Rep_5
100,2023-02-11,10,1,1,170.80,17.80,14.00,167.00,Rep_3
101,2023-05-23,2,4,3,195.45,19.45,16.00,192.00,Rep_1
102,2023-12-12,5,7,4,225.00,22.00,18.00,221.00,Rep_2
103,2023-11-21,7,3,2,100.75,10.75,8.00,98.00,Rep_4
104,2023-08-25,9,9,5,275.50,27.50,22.00,270.00,Rep_2
105,2023-04-17,4,5,2,195.40,19.40,16.00,192.00,Rep_3
106,2023-01-12,8,2,1,210.80,21.80,17.00,206.00,Rep_1
107,2023-09-04,3,6,3,190.25,19.25,16.00,187.00,Rep_4
108,2023-07-24,6,8,2,220.75,22.75,19.00,217.00,Rep_5
109,2023-02-22,1,1,1,170.80,17.80,14.00,167.00,Rep_3
110,2023-04-29,10,3,3,175.85,17.85,14.00,173.00,Rep_3
111,2023-12-06,2,5,2,190.40,19.40,16.00,187.00,Rep_1
112,2023-11-16,5,9,4,225.70,22.70,18.00,221.00,Rep_2
113,2023-08-08,7,6,3,190.25,19.25,16.00,187.00,Rep_4
114,2023-04-01,9,8,2,225.75,22.75,18.00,221.00,Rep_2
115,2023-02-08,4,10,5,160.35,16.35,13.00,157.00,Rep_3
116,2023-06-18,8,2,1,210.80,21.80,17.00,206.00,Rep_1
117,2023-03-10,3,3,4,180.60,18.60,15.00,177.00,Rep_4
118,2023-07-05,6,7,3,225.75,22.75,18.00,221.00,Rep_1
119,2023-09-02,1,4,2,150.40,15.40,13.00,148.00,Rep_5
120,2023-02-14,10,9,5,275.30,27.30,22.00,270.00,Rep_3
