ProductGroupID,ProductGroupName,ProductGroupDescription,ProductCategory,ProductSubCategory,GroupManager,GroupCreationDate,GroupStatus,NumberOfProducts,GroupBudget
31,Smart Watches,Advanced wearable devices with smart features,Electronics,Wearables,Charlotte Adams,2022-07-25,Active,50,300000
32,Drones,Remote-controlled aerial devices,Electronics,Gadgets,Liam Wilson,2023-03-28,Active,25,180000
33,Outdoor Speakers,Weather-resistant speakers for outdoor use,Electronics,Audio,Sophia Moore,2022-06-15,Active,20,150000
34,Wireless Routers,High-speed wireless internet routers,Electronics,Networking,James Turner,2023-01-05,Active,30,200000
35,Smart Plugs,Wirelessly controlled electrical outlets,Electronics,Home Automation,Amelia Davis,2022-09-30,Active,40,150000
36,Bluetooth Speakers,Portable speakers with wireless connectivity,Electronics,Audio,Henry Thompson,2023-04-17,Active,50,250000
37,Graphic Cards,High-performance graphics processing units,Electronics,Computing,Avery Wilson,2022-12-03,Active,30,300000
38,Smart Locks,Keyless entry systems for enhanced security,Electronics,Home Security,Samantha Moore,2023-02-10,Active,25,180000
39,Wireless Mice,Bluetooth-enabled computer mice,Electronics,Computing,Owen Cooper,2022-11-12,Active,40,200000
40,Smart TVs,Internet-connected televisions,Electronics,Home Entertainment,Emily Baker,2023-05-25,Active,50,350000
41,Wireless Headsets,Bluetooth headphones for hands-free communication,Electronics,Audio,Maxwell Adams,2022-10-05,Active,30,200000
42,Smartwatches for Kids,Smartwatches with kid-friendly features,Electronics,Wearables,Harper Wilson,2023-03-18,Active,20,150000
43,Smart Scales,Connected weight and body composition scales,Electronics,Health & Fitness,Liam Davis,2022-06-30,Active,30,200000
44,Car Accessories,Technological accessories for automobiles,Electronics,Automotive,Mia Turner,2023-01-15,Active,40,250000
45,Portable Projectors,Compact projectors for on-the-go presentations,Electronics,Projection,Olivia Baker,2022-09-08,Active,25,180000
46,Smart Home Hubs,Central control units for smart home devices,Electronics,Home Automation,Ethan Thompson,2023-04-25,Active,35,300000
47,Wireless Chargers,Convenient wireless charging solutions,Electronics,Accessories,Isabella Moore,2022-12-20,Active,40,180000
48,Power Banks,Portable external batteries for charging devices,Electronics,Accessories,Lucas Wilson,2023-02-12,Active,50,220000
49,Smart Pet Accessories,Technological products for pets,Electronics,Pet Supplies,Ava Davis,2022-07-28,Active,40,200000
50,Wireless Security Systems,Wireless security and surveillance solutions,Electronics,Home Security,Elijah Cooper,2023-06-10,Active,30,250000
51,Smart Kitchen Appliances,Connected appliances for smart kitchens,Electronics,Home Appliances,Sophia Adams,2022-08-25,Active,50,300000
52,Fitness Trackers,Activity monitoring devices for fitness tracking,Electronics,Health & Fitness,Noah Baker,2023-03-30,Active,25,180000
53,Bluetooth Key Finders,Wireless devices to locate lost keys,Electronics,Accessories,Lily Turner,2022-06-17,Active,20,150000
54,Smart Doorbells,Video doorbells with smart features,Electronics,Home Security,Ella Moore,2023-01-07,Active,30,200000
55,Smart Refrigerators,Connected refrigerators with advanced features,Electronics,Home Appliances,James Thompson,2022-09-30,Active,40,150000
56,Wireless Speakers,Portable speakers with wireless connectivity,Electronics,Audio,Aiden Davis,2023-04-20,Active,50,250000
57,Computer Software,Software applications for computer systems,Electronics,Computing,Abigail Wilson,2022-12-08,Active,30,300000
58,Smart Bathroom Scales,Connected scales for monitoring health metrics,Electronics,Health & Fitness,Alexander Cooper,2023-02-15,Active,25,180000
59,Car Audio Systems,Audio systems for vehicles,Electronics,Car Audio,Emily Turner,2022-07-31,Active,40,200000
60,Home Automation Kits,Starter kits for home automation,Electronics,Home Automation,Ethan Baker,2023-06-15,Active,50,350000
61,Wireless Security Cameras,Wireless surveillance cameras for enhanced security,Electronics,Home Security,Charlotte Moore,2022-08-12,Active,30,250000
62,Smart Garden Devices,Connected devices for automated gardening,Electronics,Home Automation,Logan Thompson,2023-03-05,Active,25,180000
63,Bluetooth Car Kits,Hands-free communication devices for vehicles,Electronics,Car Accessories,Grace Cooper,2022-06-22,Active,20,150000
64,Smart Bathroom Devices,Connected devices for smart bathrooms,Electronics,Home Automation,Asher Davis,2023-01-10,Active,35,300000
65,Wireless Gaming Headsets,Wireless headsets for gaming,Electronics,Gaming Accessories,Luna Wilson,2022-09-03,Active,40,180000
66,Smart Security Systems,Advanced security systems for homes and businesses,Electronics,Home Security,Leo Turner,2023-04-28,Active,50,220000
67,Smartwatches for Seniors,Smartwatches with features tailored for seniors,Electronics,Wearables,Scarlett Moore,2022-12-25,Active,40,200000
68,Portable Bluetooth Keyboards,Compact and wireless keyboards for mobile devices,Electronics,Computing,Liam Baker,2023-02-18,Active,30,250000
69,Smart Garage Door Openers,Wireless and automated garage door openers,Electronics,Home Automation,Sophie Thompson,2022-08-08,Active,50,300000
70,Wireless Gaming Mice,Wireless mice for gaming,Electronics,Gaming Accessories,Henry Cooper,2023-06-20,Active,25,180000
71,Smart Health Devices,Connected devices for health monitoring,Electronics,Health & Fitness,Oliver Davis,2022-07-05,Active,20,150000
72,Smart Car Accessories,Technological accessories for automobiles,Electronics,Car Accessories,Aria Wilson,2023-01-15,Active,30,200000
73,Wireless Home Theater Systems,Wireless audio systems for home entertainment,Electronics,Home Entertainment,Harper Baker,2022-09-08,Active,35,300000
74,Smart Bike Accessories,Technological accessories for bicycles,Electronics,Cycling,Max Turner,2023-04-30,Active,40,180000
75,Wireless Gaming Controllers,Wireless controllers for gaming consoles,Electronics,Gaming Accessories,Nova Moore,2022-12-20,Active,50,220000
