MarketTrendID,ProductGroupID,TrendDate,TrendDescription,TrendValue,MarketRegion,CompetitorAnalysis,Seasonality,CustomerSentiment,EconomicIndicators,ForecastedDemand
66,50,2028-06-15,"Rising interest in smart pet toys",0.90,"North America",Moderate,Year-Round,Positive,Stable,1.1
67,51,2028-07-20,"Growing need for smart garden sensors",0.80,"Europe",Positive,Year-Round,Positive,Stable,1.2
68,52,2028-08-12,"Increasing adoption of smart bathroom scales",0.85,"Asia",Strong,Winter,Very Positive,Improving,1.3
69,53,2028-09-05,"Steady growth in sales of smart home water leak detectors",0.75,"North America",Positive,Year-Round,Positive,Stable,1.1
70,54,2028-10-18,"Rising interest in smart pet doors",0.90,"Europe",Very Strong,Year-Round,Very Positive,Growing,1.5
71,55,2028-11-22,"High demand for smart window blinds",0.85,"Asia",Positive,Summer,Positive,Stable,1.2
72,56,2028-12-08,"Growing popularity of smart garden irrigation timers",0.80,"North America",Moderate,Year-Round,Positive,Improving,1.3
73,57,2029-01-15,"Increasing demand for smart kitchen scales",0.85,"Europe",Positive,Year-Round,Positive,Growing,1.2
74,58,2029-02-28,"Steady growth in sales of smart home air quality monitors",0.90,"Asia",Strong,Year-Round,Very Positive,Stable,1.1
75,59,2029-03-10,"Rising interest in smart home surveillance cameras",0.75,"North America",Positive,Year-Round,Positive,Stable,1.2
76,60,2029-04-05,"Growing popularity of smart garden watering systems",0.80,"Europe",Very Strong,Summer,Very Positive,Growing,1.3
77,61,2029-05-22,"Increasing demand for smart home voice assistants",0.85,"Asia",Moderate,Year-Round,Positive,Improving,1.1
78,62,2029-06-17,"Growing interest in smart pet grooming devices",0.90,"North America",Positive,Year-Round,Very Positive,Stable,1.2
79,63,2029-07-08,"Rising demand for smart home smoke detectors",0.85,"Europe",Strong,Winter,Positive,Stable,1.1
80,64,2029-08-20,"Steady growth in sales of smart home door locks",0.80,"Asia",Positive,Year-Round,Positive,Growing,1.4
81,65,2030-01-18,"Increasing demand for smart home air purifiers",0.85,"North America",Moderate,Year-Round,Positive,Growing,1.2
82,66,2030-02-12,"Rising interest in smart kitchen appliances",0.80,"Europe",Positive,Year-Round,Positive,Stable,1.1
83,67,2030-03-25,"Growing popularity of smart home security cameras",0.90,"Asia",Strong,Summer,Very Positive,Improving,1.3
84,68,2030-04-20,"Steady growth in sales of smart thermostats",0.75,"North America",Positive,Year-Round,Positive,Stable,1.2
85,69,2030-05-08,"Increasing demand for smart home entertainment systems",0.85,"Europe",Very Strong,Year-Round,Very Positive,Growing,1.4
86,70,2030-06-15,"Rising interest in smart home pet feeders",0.90,"Asia",Moderate,Year-Round,Positive,Stable,1.1
87,71,2030-07-20,"Growing need for smart kitchen faucets",0.80,"North America",Positive,Year-Round,Positive,Stable,1.2
88,72,2030-08-12,"Increasing adoption of smart home lighting controls",0.85,"Europe",Strong,Winter,Very Positive,Improving,1.3
89,73,2030-09-05,"Steady growth in sales of smart home robot cleaners",0.75,"Asia",Positive,Year-Round,Positive,Stable,1.1
90,74,2030-10-18,"Rising interest in smart home security alarms",0.90,"North America",Very Strong,Year-Round,Very Positive,Growing,1.5
91,75,2030-11-22,"High demand for smart home surveillance systems",0.85,"Europe",Positive,Summer,Positive,Stable,1.2
92,76,2030-12-08,"Growing popularity of smart home water heaters",0.80,"Asia",Moderate,Year-Round,Positive,Stable,1.1
93,77,2031-01-15,"Increasing demand for smart home voice control devices",0.85,"North America",Positive,Year-Round,Positive,Growing,1.2
94,78,2031-02-28,"Steady growth in sales of smart home doorbells",0.90,"Europe",Strong,Year-Round,Very Positive,Stable,1.3
95,79,2031-03-10,"Rising interest in smart home lighting solutions",0.75,"Asia",Positive,Year-Round,Positive,Stable,1.2
96,80,2031-04-05,"Growing popularity of smart home security locks",0.80,"North America",Very Strong,Summer,Very Positive,Growing,1.3
97,81,2031-05-22,"Increasing demand for smart home energy management systems",0.85,"Europe",Moderate,Year-Round,Positive,Improving,1.1
98,82,2031-06-17,"Growing interest in smart home pet monitoring devices",0.90,"Asia",Positive,Year-Round,Very Positive,Stable,1.2
99,83,2031-07-08,"Rising demand for smart home window sensors",0.85,"North America",Strong,Winter,Positive,Stable,1.1
100,84,2031-08-20,"Steady growth in sales of smart home security systems",0.80,"Europe",Positive,Year-Round,Positive,Growing,1.4


